index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
644,2003.0,the goose girl,shannon hale,en-us,,4.18,92952,genre fiction,120.78,72.468,0.99,738,simon and schuster digital sales inc,44280,,,,
645,2001.0,mystic river,dennis lehane,en-us,,4.19,86103,genre fiction,1096.78,658.068,8.99,739,random house llc,43848,,,,
646,2010.0,warm bodies,isaac marion,unknown,,3.93,66381,genre fiction,486.78,292.068,3.99,740,"amazon digital services,  inc.",43848,,,,
647,1881.0,the prince and the pauper,"mark twain, everett h. emerson",eng,,3.84,84682,genre fiction,966.79,580.074,7.99,741,random house llc,43416,,,,
648,1966.0,the moon is a harsh mistress,robert a. heinlein,eng,,4.17,80366,genre fiction,930.49,558.294,7.69,743,penguin group (usa) llc,43416,,,,
650,1999.0,high five,janet evanovich,eng,,4.17,92737,children,671.55,402.93,5.55,745,"amazon digital services,  inc.",43200,,,,
651,2013.0,joyland,stephen king,eng,,3.9,75018,genre fiction,118.8,0.0,0.99,746,"amazon digital services,  inc.",42768,,,,
653,1933.0,tender is the night,f. scott fitzgerald,en-us,,3.83,79008,genre fiction,118.8,71.28,0.99,750,"amazon digital services,  inc.",42120,,,,
654,1984.0,cold sassy tree,olive ann burns,unknown,,3.99,82281,genre fiction,950.81,570.486,7.99,751,random house llc,42120,,,,
655,1945.0,the glass menagerie,tennessee williams,eng,,3.67,90032,nonfiction,117.81,70.686,0.99,752,"amazon digital services,  inc.",41904,,,,
656,2011.0,l'amica geniale,"elena ferrante, ann goldstein",eng,,3.88,64637,nonfiction,912.73,547.638,7.67,753,random house llc,41472,,,,
657,2007.0,"the 4-hour workweek: escape 9-5, live anywhere, and join the new rich",timothy ferriss,eng,,3.84,66129,genre fiction,355.81,0.0,2.99,757,"amazon digital services,  inc.",41256,,,,
658,1996.0,the monk who sold his ferrari: a fable about fulfilling your dreams & reaching your destiny,robin s. sharma,eng,,3.77,52031,genre fiction,117.81,0.0,0.99,759,"amazon digital services,  inc.",40824,,,,
659,2011.0,rules of civility,amor towles,eng,,3.99,75541,genre fiction,712.81,427.686,5.99,760,penguin group (usa) llc,40824,,,,
660,1970.0,ringworld,larry niven,eng,,3.96,76925,genre fiction,117.81,70.686,0.99,760,"amazon digital services,  inc.",40176,,,,
661,2011.0,between shades of gray,ruta sepetys,eng,,4.36,87718,genre fiction,236.81,142.086,1.99,761,"amazon digital services,  inc.",40176,,,,
662,1996.0,frindle,"andrew clements, brian selznick",en-us,,3.79,83351,genre fiction,712.81,427.686,5.99,762,macmillan,39960,,,,
663,2009.0,dog days,jeff kinney,en-us,,4.14,78592,genre fiction,474.81,0.0,3.99,764,"amazon digital services,  inc.",39744,,,,
664,2012.0,the round house,louise erdrich,eng,,3.91,67928,genre fiction,355.81,0.0,2.99,764,"amazon digital services,  inc.",39312,,,,
665,1973.0,a wind in the door,madeleine l'engle,eng,,4.07,87277,genre fiction,355.81,0.0,2.99,765,"amazon digital services,  inc.",39312,,,,
666,2012.0,free four: tobias tells the divergent story,veronica roth,eng,,4.18,81621,nonfiction,1188.81,713.286,9.99,765,hachette book group,38880,,,,
667,2015.0,a little life,hanya yanagihara,eng,,4.27,66782,genre fiction,355.81,213.486,2.99,766,"amazon digital services,  inc.",38664,,,,
669,2011.0,the alloy of law,brandon sanderson,eng,,4.2,72185,genre fiction,593.81,0.0,4.99,768,"amazon digital services,  inc.",38448,,,,
670,2011.0,dead reckoning,charlaine harris,eng,,3.77,87066,nonfiction,117.81,70.686,0.99,770,"amazon digital services,  inc.",38448,,,,
671,1985.0,the accidental tourist,"anne tyler, jennifer bassett",eng,,3.9,80075,genre fiction,784.21,470.526,6.59,770,"amazon digital services,  inc.",38448,,,,
673,1897.0,the invisible man,h.g. wells,eng,,3.62,84778,genre fiction,117.81,70.686,0.99,772,macmillan,38016,,,,
675,1994.0,na margem do rio piedra eu sentei e chorei,"paulo coelho, alan r. clarke",eng,,3.57,62106,genre fiction,915.11,549.066,7.69,775,random house llc,37584,,,,
676,1812.0,der schweizerische robinson,"johann david wyss, scott mckowen, arthur pober",eng,,3.92,78355,genre fiction,355.81,0.0,2.99,779,"amazon digital services,  inc.",37584,,,,
